,Affilation Name,Affilation profile
0,Universiteit van Amsterdam,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
1,University of Melbourne,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
2,University of Toronto,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
3,Università degli Studi di Padova,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
4,KU Leuven,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
5,Università Cattolica del Sacro Cuore,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
6,University College London,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
7,CNRS Centre National de la Recherche Scientifique,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
8,Florida State University,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
9,"University of Maryland, College Park",https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
10,The University of Sydney,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
11,Georgia State University,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
12,University of Illinois Urbana-Champaign,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
13,Monash University,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
14,The University of Texas at Austin,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
15,Universiteit Utrecht,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
16,Indiana University Bloomington,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
17,Université du Québec à Montréal,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
18,"University of California, Los Angeles",https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
19,University of Minnesota Twin Cities,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
20,Radboud Universiteit,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
21,Pennsylvania State University,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
22,King's College London,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
23,Arizona State University,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
24,"University of Michigan, Ann Arbor",https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
25,"University of South Florida, Tampa",https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
26,Rijksuniversiteit Groningen,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
27,Université McGill,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
28,The Ohio State University,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
29,IRCCS Istituto Auxologico Italiano,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
30,University of Georgia,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
31,Columbia University,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
32,University of Pennsylvania,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
33,The University of North Carolina at Chapel Hill,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
34,UNSW Sydney,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
35,City University of New York,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
36,Universitat de Barcelona,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
37,Moscow State University of Psychology and Education,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
38,Universitetet i Oslo,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
39,Vanderbilt University,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
40,University of Montreal,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
41,The University of Queensland,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
42,University of Cambridge,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
43,Sapienza Università di Roma,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
44,University of Washington,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
45,University of Missouri,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
46,Educational Testing Service,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
47,The University of British Columbia,https://www.scopus.com/affil/profile.uri?afid=60026851&origin=resultsAnalyzer&zone=affiliationName
